,event_time,symbol,base_volume,close_price,first_trade_id,high_price,ignore,interval,is_closed,kline_close_time,kline_start_time,last_trade_id,low_price,number_of_trades,open_price,quote,taker_by_base_asset_volume,taker_by_quote_asset_volume
0,1634122502643,FTMUSDT,295.00000000,2.00990000,False,2.01110000,0,1m,False,1634122559999,1634122500000,False,2.00990000,5,2.01110000,593.15520000,9.00000000,18.08910000
0,1634122504704,FTMUSDT,2948.00000000,2.00940000,False,2.01110000,0,1m,False,1634122559999,1634122500000,False,2.00940000,13,2.01110000,5924.88500000,2588.00000000,5201.11590000
0,1634122563458,FTMUSDT,27.00000000,2.01160000,False,2.01160000,0,1m,False,1634122619999,1634122560000,False,2.01160000,1,2.01160000,54.31320000,0.00000000,0.00000000
0,1634122623632,FTMUSDT,2226.00000000,2.00930000,False,2.01000000,0,1m,False,1634122679999,1634122620000,False,2.00840000,11,2.00840000,4472.39520000,1003.00000000,2014.97330000
0,1634122682758,FTMUSDT,209.00000000,2.01720000,False,2.01720000,0,1m,False,1634122739999,1634122680000,False,2.01640000,2,2.01640000,421.44120000,17.00000000,34.29240000
0,1634122742945,FTMUSDT,12405.00000000,2.01510000,False,2.01620000,0,1m,False,1634122799999,1634122740000,False,2.01400000,22,2.01400000,24994.33150000,11783.00000000,23740.96310000
0,1634122802946,FTMUSDT,2124.00000000,2.01320000,False,2.01430000,0,1m,False,1634122859999,1634122800000,False,2.01320000,6,2.01430000,4277.32470000,1742.00000000,3508.21510000
0,1634122865283,FTMUSDT,404.00000000,2.01820000,False,2.01820000,0,1m,False,1634122919999,1634122860000,False,2.01760000,3,2.01770000,815.15190000,9.00000000,18.16380000
0,1634122922142,FTMUSDT,67222.00000000,2.02640000,False,2.02690000,0,1m,False,1634122979999,1634122920000,False,2.02370000,194,2.02380000,136164.51560000,45391.00000000,91939.58960000
0,1634122982237,FTMUSDT,783.00000000,2.01420000,False,2.01510000,0,1m,False,1634123039999,1634122980000,False,2.01420000,6,2.01440000,1577.47410000,729.00000000,1468.70530000
0,1634123042293,FTMUSDT,43.00000000,2.01610000,False,2.01610000,0,1m,False,1634123099999,1634123040000,False,2.01400000,3,2.01400000,86.66670000,37.00000000,74.58270000
0,1634123102162,FTMUSDT,1584.00000000,2.00940000,False,2.00940000,0,1m,False,1634123159999,1634123100000,False,2.00890000,7,2.00900000,3182.64990000,12.00000000,24.11160000
0,1634123164306,FTMUSDT,7613.00000000,2.00820000,False,2.00820000,0,1m,False,1634123219999,1634123160000,False,2.00700000,17,2.00700000,15286.76110000,7571.00000000,15202.46710000
0,1634123223224,FTMUSDT,524.00000000,2.01490000,False,2.01490000,0,1m,False,1634123279999,1634123220000,False,2.01480000,4,2.01480000,1055.75760000,24.00000000,48.35760000
0,1634123282425,FTMUSDT,82.00000000,2.01430000,False,2.01440000,0,1m,False,1634123339999,1634123280000,False,2.01430000,3,2.01440000,165.17310000,82.00000000,165.17310000
0,1634123342614,FTMUSDT,27998.00000000,2.01240000,False,2.01250000,0,1m,False,1634123399999,1634123340000,False,2.01040000,45,2.01040000,56309.06640000,26696.00000000,53689.11360000
0,1634123344892,FTMUSDT,28450.00000000,2.01310000,False,2.01310000,0,1m,False,1634123399999,1634123340000,False,2.01040000,50,2.01040000,57218.84340000,27044.00000000,54389.54180000
0,1634123402812,FTMUSDT,260.00000000,2.01400000,False,2.01400000,0,1m,False,1634123459999,1634123400000,False,2.01360000,3,2.01400000,523.63560000,249.00000000,501.48600000
0,1634123463452,FTMUSDT,12217.00000000,2.01640000,False,2.01720000,0,1m,False,1634123519999,1634123460000,False,2.01640000,17,2.01710000,24639.50340000,949.00000000,1914.18450000
0,1634123523760,FTMUSDT,232.00000000,2.01380000,False,2.01410000,0,1m,False,1634123579999,1634123520000,False,2.01380000,3,2.01400000,467.20470000,12.00000000,24.16870000
0,1634123583404,FTMUSDT,1545.00000000,2.01610000,False,2.01630000,0,1m,False,1634123639999,1634123580000,False,2.01560000,6,2.01560000,3114.77430000,1468.00000000,2959.56760000
0,1634123642193,FTMUSDT,6819.00000000,2.02470000,False,2.02590000,0,1m,False,1634123699999,1634123640000,False,2.02460000,23,2.02550000,13810.48530000,163.00000000,330.22170000
0,1634123644252,FTMUSDT,13582.00000000,2.02540000,False,2.02600000,0,1m,False,1634123699999,1634123640000,False,2.02430000,52,2.02550000,27505.87050000,4605.00000000,9326.71550000
0,1634123646623,FTMUSDT,14749.00000000,2.02550000,False,2.02600000,0,1m,False,1634123699999,1634123640000,False,2.02430000,62,2.02550000,29869.66430000,4685.00000000,9488.79550000
0,1634123703248,FTMUSDT,5287.00000000,2.02750000,False,2.02750000,0,1m,False,1634123759999,1634123700000,False,2.02650000,13,2.02720000,10717.35060000,2177.00000000,4413.45560000
0,1634123763352,FTMUSDT,477.00000000,2.02470000,False,2.02470000,0,1m,False,1634123819999,1634123760000,False,2.02450000,3,2.02450000,965.76650000,0.00000000,0.00000000
0,1634123822766,FTMUSDT,8883.00000000,2.02320000,False,2.02410000,0,1m,False,1634123879999,1634123820000,False,2.02270000,16,2.02270000,17974.50630000,7024.00000000,14213.19040000
0,1634123825145,FTMUSDT,11014.00000000,2.02290000,False,2.02410000,0,1m,False,1634123879999,1634123820000,False,2.02270000,25,2.02270000,22285.61310000,7294.00000000,14759.53740000
0,1634123828107,FTMUSDT,12121.00000000,2.02230000,False,2.02410000,0,1m,False,1634123879999,1634123820000,False,2.02230000,31,2.02270000,24524.63000000,7757.00000000,15696.10530000
0,1634123883335,FTMUSDT,184.00000000,2.01900000,False,2.01900000,0,1m,False,1634123939999,1634123880000,False,2.01900000,1,2.01900000,371.49600000,0.00000000,0.00000000
0,1634123942511,FTMUSDT,2357.00000000,2.02050000,False,2.02080000,0,1m,False,1634123999999,1634123940000,False,2.02050000,6,2.02080000,4762.85340000,1783.00000000,3603.08640000
0,1634123944583,FTMUSDT,2368.00000000,2.02070000,False,2.02080000,0,1m,False,1634123999999,1634123940000,False,2.02050000,7,2.02080000,4785.08110000,1783.00000000,3603.08640000
0,1634124003688,FTMUSDT,26076.00000000,2.02230000,False,2.02230000,0,1m,False,1634124059999,1634124000000,False,2.02060000,20,2.02060000,52703.45280000,19779.00000000,39974.98490000
0,1634124062902,FTMUSDT,950.00000000,2.02500000,False,2.02500000,0,1m,False,1634124119999,1634124060000,False,2.02470000,3,2.02500000,1923.69000000,750.00000000,1518.75000000
0,1634124125098,FTMUSDT,5177.00000000,2.02060000,False,2.02150000,0,1m,False,1634124179999,1634124120000,False,2.02060000,6,2.02150000,10464.97280000,0.00000000,0.00000000
0,1634124183050,FTMUSDT,2670.00000000,2.01990000,False,2.01990000,0,1m,False,1634124239999,1634124180000,False,2.01910000,4,2.01910000,5392.34020000,2670.00000000,5392.34020000
0,1634124243511,FTMUSDT,1070.00000000,2.01580000,False,2.01580000,0,1m,False,1634124299999,1634124240000,False,2.01520000,2,2.01520000,2156.86340000,999.00000000,2013.78420000
0,1634124246512,FTMUSDT,2192.00000000,2.01590000,False,2.01590000,0,1m,False,1634124299999,1634124240000,False,2.01520000,7,2.01520000,4418.59990000,1088.00000000,2193.19930000
0,1634124302638,FTMUSDT,1465.00000000,2.01480000,False,2.01580000,0,1m,False,1634124359999,1634124300000,False,2.01480000,5,2.01580000,2952.77680000,583.00000000,1175.21140000
0,1634124305599,FTMUSDT,2696.00000000,2.01500000,False,2.01600000,0,1m,False,1634124359999,1634124300000,False,2.01480000,8,2.01580000,5434.29980000,1543.00000000,3110.57140000
0,1634124362849,FTMUSDT,676.00000000,2.01770000,False,2.01770000,0,1m,False,1634124419999,1634124360000,False,2.01690000,5,2.01690000,1363.62370000,476.00000000,960.24370000
0,1634124423033,FTMUSDT,1261.00000000,2.01910000,False,2.01950000,0,1m,False,1634124479999,1634124420000,False,2.01910000,4,2.01930000,2546.44870000,1206.00000000,2435.39820000
0,1634124483229,FTMUSDT,420.00000000,2.02040000,False,2.02040000,0,1m,False,1634124539999,1634124480000,False,2.02040000,3,2.02040000,848.56800000,0.00000000,0.00000000
0,1634124548429,FTMUSDT,6.00000000,2.02170000,False,2.02170000,0,1m,False,1634124599999,1634124540000,False,2.02170000,1,2.02170000,12.13020000,0.00000000,0.00000000
0,1634124603463,FTMUSDT,2563.00000000,2.02080000,False,2.02110000,0,1m,False,1634124659999,1634124600000,False,2.02070000,6,2.02070000,5179.26810000,519.00000000,1048.75290000
0,1634124662792,FTMUSDT,732.00000000,2.02160000,False,2.02160000,0,1m,False,1634124719999,1634124660000,False,2.02140000,4,2.02140000,1479.77000000,31.00000000,62.66960000
